Sigla,Dividendos_Yield,DY_lag1,PVP_lag1,DY_lag2,DY_lag3,Segmento,Tipo_do_Fundo
ABCP11,0.006079,0.006074,0.6673,0.004675,0.004675,Shoppings,Tijolo
ALZR11,0.007795,0.008195,0.9432,0.007927,0.008042,Hibrido,Tijolo
BBPO11,0.010095,0.010086,0.9766094,0.010076,0.010103,Escritorios,Tijolo
BRCR11,0.005156,0.004571,0.4788,0.003946,0.009346,Hibrido,Tijolo
BRRI11,0.004187,0.004158,,0.004234,0.004019,Hibrido,Tijolo
BTLG11,0.007286,0.007493,0.9455,0.004813,0.006038,Logistico,Tijolo
CBOP11,0.001479,0.00148,0.3509,0.001479,0.00148,Escritorios,Tijolo
CEOC11,0.00676,0.006892,0.5778,0.00635,0.007251,Escritorios,Tijolo
CNES11,0.001369,0.001048,0.2061,0.001063,0.001095,Escritorios,Tijolo
CXCE11,0.006655,0.006729,0.5068198,0.006442,0.0066,Escritorios,Tijolo
CXTL11,0.000386,0.000944,0.7135,0.001609,0.001617,Logistico,Tijolo
ELDO11,0.006676,0.006016,,0.005746,0.005555,Shoppings,Tijolo
EURO11,0.006316,0.006323,0.7564,0.005307,0.006063,Logistico,Tijolo
FIGS11,0.00631,0.006303,0.5894,0.006297,0.006293,Shoppings,Tijolo
FIIB11,0.007503,0.007506,0.9909,0.007522,0.007529,Logistico,Tijolo
FLMA11,0.005568,0.005164,0.6311,0.00521,0.004759,Escritorios,Tijolo
FLRP11,0.007402,0.007394,0.9623,0.00689,0.006887,Shoppings,Tijolo
FPAB11,0.004455,0.005536,0.5447,0.005182,0.004723,Escritorios,Tijolo
GTWR11,0.009023,0.009021,0.7226,0.0,0.0,Escritorios,Tijolo
HGBS11,0.006923,0.006894,0.8833,0.00696,0.006955,Shoppings,Tijolo
HGLG11,0.005901,0.006769,0.9377,0.006781,0.006769,Logistico,Tijolo
HGRE11,0.005448,0.005455,0.7319,0.005458,0.00546,Escritorios,Tijolo
HLOG11,0.006324,0.006331,0.7619,0.006346,0.006342,Logistico,Tijolo
HSML11,0.006725,0.006728,0.7703,0.006532,0.006404,Shoppings,Tijolo
KNRI11,0.006122,0.006123,0.8488,0.006125,0.006134,Hibrido,Tijolo
LGVT11,0.005155,0.005086,,0.005086,0.005018,Logistico,Tijolo
LVBI11,0.006578,0.006331,0.8703,0.006297,0.006482,Logistico,Tijolo
MALL11,0.007023,0.007029,0.824,0.007036,0.007036,Shoppings,Tijolo
PATB11,0.000258,0.003268,,0.005951,0.00828,Hibrido,Tijolo
PQDP11,0.005323,0.005595,0.6839,0.004388,0.005601,Shoppings,Tijolo
RBRD11,0.00846,0.00846,0.5742,0.007699,0.007705,Hibrido,Tijolo
RNGO11,0.003463,0.003457,0.5775,0.003458,0.003461,Escritorios,Tijolo
SHDP11,0.004926,0.005973,,0.005006,0.005414,Shoppings,Tijolo
SHPH11,0.003956,0.004452,0.924,0.004946,0.00494,Shoppings,Tijolo
TRNT11,0.000221,0.001905,0.5322,-0.0025,0.003815,Escritorios,Tijolo
VERE11,0.004438,0.004446,0.9310381,0.00445,0.008865,Hibrido,Tijolo
VILG11,0.006348,0.006394,0.7218,0.006394,0.006403,Logistico,Tijolo
VISC11,0.006577,0.006592,0.8413,0.006582,0.006558,Shoppings,Tijolo
VPSI11,0.008127,0.006956,0.721,0.006698,0.007949,Shoppings,Tijolo
VSHO11,0.006946,0.006083,0.601,0.0,0.0,Shoppings,Tijolo
VTLT11,0.008239,0.008241,0.7161257,0.008243,0.008241,Logistico,Tijolo
WPLZ11,0.005537,0.005547,0.6416,0.005551,0.005545,Shoppings,Tijolo
XPML11,0.01196,0.006645,0.9107,0.008161,0.008557,Shoppings,Tijolo
